square,ssquare,townumber,lat1,lon1,lat2,lon2,vid
719,4,11,670728,193150,670933,192573,77
720,1,11,671956,203478,671825,204187,77
720,3,14,670457,202807,670232,203334,77
721,3,1,670494,212635,670309,213248,77
721,3,1,671219,213573,671511,213751,78
721,1,2,671825,214465,672025,215045,78
721,1,3,672455,213687,672452,214468,78
721,4,11,670204,211260,670496,211075,77
722,1,1,672611,223420,672591,224200,78
722,3,2,670570,230000,670270,230000,77
722,4,4,670620,220220,670920,220200,77
722,2,71,671650,221140,671480,220540,78
723,2,1,672277,231736,672141,232430,78
723,1,2,671682,233245,671463,233774,78
723,4,2,670140,232770,670400,233190,77
723,3,4,670020,234580,670300,234290,77
723,3,11,665992,235901,670308,235100,77
724,3,2,670050,245455,670318,245108,78
768,1,1,675770,184910,675530,185391,78
768,4,2,673809,180493,674008,181083,78
769,2,1,674954,190565,674723,191072,78
769,3,2,674088,192998,673874,193552,78
769,4,3,673007,190682,673048,185905,78
770,4,1,674073,201972,674372,201920,78
770,2,2,674743,202420,675012,202771,78
770,4,3,673297,202985,673261,202205,78
770,3,4,673743,204390,673559,203768,78
771,1,2,674884,214245,674908,213453,78
771,2,3,674760,212547,674602,211872,78
771,3,21,673490,214795,673790,214785,78
772,3,1,674110,230066,674314,225486,78
818,3,1,680424,184201,680152,184540,78
